Alpha3b_Code,Alpha3t_Code,Alpha2_Code,English_Name,French_Name
aar,,aa,Afar,afar
abk,,ab,Abkhazian,abkhaze
ace,,,Achinese,aceh
ach,,,Acoli,acoli
ada,,,Adangme,adangme
ady,,,Adyghe; Adygei,adyghÃ©
afa,,,Afro-Asiatic languages,"afro-asiatiques, langues"
afh,,,Afrihili,afrihili
afr,,af,Afrikaans,afrikaans
ain,,,Ainu,aÃ¯nou
aka,,ak,Akan,akan
akk,,,Akkadian,akkadien
alb,sqi,sq,Albanian,albanais
ale,,,Aleut,alÃ©oute
alg,,,Algonquian languages,"algonquines, langues"
alt,,,Southern Altai,altai du Sud
amh,,am,Amharic,amharique
ang,,,"English, Old (ca.450-1100)",anglo-saxon (ca.450-1100)
anp,,,Angika,angika
apa,,,Apache languages,"apaches, langues"
ara,,ar,Arabic,arabe
arc,,,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),aramÃ©en d'empire (700-300 BCE)
arg,,an,Aragonese,aragonais
arm,hye,hy,Armenian,armÃ©nien
arn,,,Mapudungun; Mapuche,mapudungun; mapuche; mapuce
arp,,,Arapaho,arapaho
art,,,Artificial languages,"artificielles, langues"
arw,,,Arawak,arawak
asm,,as,Assamese,assamais
ast,,,Asturian; Bable; Leonese; Asturleonese,asturien; bable; lÃ©onais; asturolÃ©onais
ath,,,Athapascan languages,"athapascanes, langues"
aus,,,Australian languages,"australiennes, langues"
ava,,av,Avaric,avar
ave,,ae,Avestan,avestique
awa,,,Awadhi,awadhi
aym,,ay,Aymara,aymara
aze,,az,Azerbaijani,azÃ©ri
bad,,,Banda languages,"banda, langues"
bai,,,Bamileke languages,"bamilÃ©kÃ©, langues"
bak,,ba,Bashkir,bachkir
bal,,,Baluchi,baloutchi
bam,,bm,Bambara,bambara
ban,,,Balinese,balinais
baq,eus,eu,Basque,basque
bas,,,Basa,basa
bat,,,Baltic languages,"baltes, langues"
bej,,,Beja; Bedawiyet,bedja
bel,,be,Belarusian,biÃ©lorusse
bem,,,Bemba,bemba
ben,,bn,Bengali,bengali
ber,,,Berber languages,"berbÃ¨res, langues"
bho,,,Bhojpuri,bhojpuri
bih,,bh,Bihari languages,langues biharis
bik,,,Bikol,bikol
bin,,,Bini; Edo,bini; edo
bis,,bi,Bislama,bichlamar
bla,,,Siksika,blackfoot
bnt,,,Bantu (Other),"bantoues, autres langues"
bos,,bs,Bosnian,bosniaque
bra,,,Braj,braj
bre,,br,Breton,breton
btk,,,Batak languages,"batak, langues"
bua,,,Buriat,bouriate
bug,,,Buginese,bugi
bul,,bg,Bulgarian,bulgare
bur,mya,my,Burmese,birman
byn,,,Blin; Bilin,blin; bilen
cad,,,Caddo,caddo
cai,,,Central American Indian languages,"amÃ©rindiennes de L'AmÃ©rique centrale, langues"
car,,,Galibi Carib,karib; galibi; carib
cat,,ca,Catalan; Valencian,catalan; valencien
cau,,,Caucasian languages,"caucasiennes, langues"
ceb,,,Cebuano,cebuano
cel,,,Celtic languages,"celtiques, langues; celtes, langues"
cha,,ch,Chamorro,chamorro
chb,,,Chibcha,chibcha
che,,ce,Chechen,tchÃ©tchÃ¨ne
chg,,,Chagatai,djaghataÃ¯
chi,zho,zh,Chinese,chinois
chk,,,Chuukese,chuuk
chm,,,Mari,mari
chn,,,Chinook jargon,"chinook, jargon"
cho,,,Choctaw,choctaw
chp,,,Chipewyan; Dene Suline,chipewyan
chr,,,Cherokee,cherokee
chu,,cu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,slavon d'Ã©glise; vieux slave; slavon liturgique; vieux bulgare
chv,,cv,Chuvash,tchouvache
chy,,,Cheyenne,cheyenne
cmc,,,Chamic languages,"chames, langues"
cop,,,Coptic,copte
cor,,kw,Cornish,cornique
cos,,co,Corsican,corse
cpe,,,"Creoles and pidgins, English based",crÃ©oles et pidgins basÃ©s sur l'anglais
cpf,,,"Creoles and pidgins, French-based",crÃ©oles et pidgins basÃ©s sur le franÃ§ais
cpp,,,"Creoles and pidgins, Portuguese-based",crÃ©oles et pidgins basÃ©s sur le portugais
cre,,cr,Cree,cree
crh,,,Crimean Tatar; Crimean Turkish,tatar de CrimÃ©
crp,,,Creoles and pidgins,crÃ©oles et pidgins
csb,,,Kashubian,kachoube
cus,,,Cushitic languages,"couchitiques, langues"
cze,ces,cs,Czech,tchÃ¨que
dak,,,Dakota,dakota
dan,,da,Danish,danois
dar,,,Dargwa,dargwa
day,,,Land Dayak languages,"dayak, langues"
del,,,Delaware,delaware
den,,,Slave (Athapascan),esclave (athapascan)
dgr,,,Dogrib,dogrib
din,,,Dinka,dinka
div,,dv,Divehi; Dhivehi; Maldivian,maldivien
doi,,,Dogri,dogri
dra,,,Dravidian languages,"dravidiennes, langues"
dsb,,,Lower Sorbian,bas-sorabe
dua,,,Duala,douala
dum,,,"Dutch, Middle (ca.1050-1350)",nÃ©erlandais moyen (ca. 1050-1350)
dut,nld,nl,Dutch; Flemish,nÃ©erlandais; flamand
dyu,,,Dyula,dioula
dzo,,dz,Dzongkha,dzongkha
efi,,,Efik,efik
egy,,,Egyptian (Ancient),Ã©gyptien
eka,,,Ekajuk,ekajuk
elx,,,Elamite,Ã©lamite
eng,,en,English,anglais
enm,,,"English, Middle (1100-1500)",anglais moyen (1100-1500)
epo,,eo,Esperanto,espÃ©ranto
est,,et,Estonian,estonien
ewe,,ee,Ewe,Ã©wÃ©
ewo,,,Ewondo,Ã©wondo
fan,,,Fang,fang
fao,,fo,Faroese,fÃ©roÃ¯en
fat,,,Fanti,fanti
fij,,fj,Fijian,fidjien
fil,,,Filipino; Pilipino,filipino; pilipino
fin,,fi,Finnish,finnois
fiu,,,Finno-Ugrian languages,"finno-ougriennes, langues"
fon,,,Fon,fon
fre,fra,fr,French,franÃ§ais
frm,,,"French, Middle (ca.1400-1600)",franÃ§ais moyen (1400-1600)
fro,,,"French, Old (842-ca.1400)",franÃ§ais ancien (842-ca.1400)
frr,,,Northern Frisian,frison septentrional
frs,,,Eastern Frisian,frison oriental
fry,,fy,Western Frisian,frison occidental
ful,,ff,Fulah,peul
fur,,,Friulian,frioulan
gaa,,,Ga,ga
gay,,,Gayo,gayo
gba,,,Gbaya,gbaya
gem,,,Germanic languages,"germaniques, langues"
geo,kat,ka,Georgian,gÃ©orgien
ger,deu,de,German,allemand
gez,,,Geez,guÃ¨ze
gil,,,Gilbertese,kiribati
gla,,gd,Gaelic; Scottish Gaelic,gaÃ©lique; gaÃ©lique Ã©cossais
gle,,ga,Irish,irlandais
glg,,gl,Galician,galicien
glv,,gv,Manx,manx; mannois
gmh,,,"German, Middle High (ca.1050-1500)","allemand, moyen haut (ca. 1050-1500)"
goh,,,"German, Old High (ca.750-1050)","allemand, vieux haut (ca. 750-1050)"
gon,,,Gondi,gond
gor,,,Gorontalo,gorontalo
got,,,Gothic,gothique
grb,,,Grebo,grebo
grc,,,"Greek, Ancient (to 1453)",grec ancien (jusqu'Ã  1453)
gre,ell,el,"Greek, Modern (1453-)",grec moderne (aprÃ¨s 1453)
grn,,gn,Guarani,guarani
gsw,,,Swiss German; Alemannic; Alsatian,suisse alÃ©manique; alÃ©manique; alsacien
guj,,gu,Gujarati,goudjrati
gwi,,,Gwich'in,gwich'in
hai,,,Haida,haida
hat,,ht,Haitian; Haitian Creole,haÃ¯tien; crÃ©ole haÃ¯tien
hau,,ha,Hausa,haoussa
haw,,,Hawaiian,hawaÃ¯en
heb,,he,Hebrew,hÃ©breu
her,,hz,Herero,herero
hil,,,Hiligaynon,hiligaynon
him,,,Himachali languages; Western Pahari languages,langues himachalis; langues paharis occidentales
hin,,hi,Hindi,hindi
hit,,,Hittite,hittite
hmn,,,Hmong; Mong,hmong
hmo,,ho,Hiri Motu,hiri motu
hrv,,hr,Croatian,croate
hsb,,,Upper Sorbian,haut-sorabe
hun,,hu,Hungarian,hongrois
hup,,,Hupa,hupa
iba,,,Iban,iban
ibo,,ig,Igbo,igbo
ice,isl,is,Icelandic,islandais
ido,,io,Ido,ido
iii,,ii,Sichuan Yi; Nuosu,yi de Sichuan
ijo,,,Ijo languages,"ijo, langues"
iku,,iu,Inuktitut,inuktitut
ile,,ie,Interlingue; Occidental,interlingue
ilo,,,Iloko,ilocano
ina,,ia,Interlingua (International Auxiliary Language Association),interlingua (langue auxiliaire internationale)
inc,,,Indic languages,"indo-aryennes, langues"
ind,,id,Indonesian,indonÃ©sien
ine,,,Indo-European languages,"indo-europÃ©ennes, langues"
inh,,,Ingush,ingouche
ipk,,ik,Inupiaq,inupiaq
ira,,,Iranian languages,"iraniennes, langues"
iro,,,Iroquoian languages,"iroquoises, langues"
ita,,it,Italian,italien
jav,,jv,Javanese,javanais
jbo,,,Lojban,lojban
jpn,,ja,Japanese,japonais
jpr,,,Judeo-Persian,judÃ©o-persan
jrb,,,Judeo-Arabic,judÃ©o-arabe
kaa,,,Kara-Kalpak,karakalpak
kab,,,Kabyle,kabyle
kac,,,Kachin; Jingpho,kachin; jingpho
kal,,kl,Kalaallisut; Greenlandic,groenlandais
kam,,,Kamba,kamba
kan,,kn,Kannada,kannada
kar,,,Karen languages,"karen, langues"
kas,,ks,Kashmiri,kashmiri
kau,,kr,Kanuri,kanouri
kaw,,,Kawi,kawi
kaz,,kk,Kazakh,kazakh
kbd,,,Kabardian,kabardien
kha,,,Khasi,khasi
khi,,,Khoisan languages,"khoÃ¯san, langues"
khm,,km,Central Khmer,khmer central
kho,,,Khotanese; Sakan,khotanais; sakan
